[Worker-7] ?????? PDC Grid Management — WORKER NODE ??????
[Worker-7] Using 4 threads  connecting to localhost:9090
[Worker-7] Chunk #936 done in 2 ms  local best: candidate #93696  cost=36870061.26
[Worker-7] Chunk #944  [94400, 94500)  100 candidates
[Worker-7] Chunk #944 done in 1 ms  local best: candidate #94484  cost=36592286.32
[Worker-7] Chunk #952  [95200, 95300)  100 candidates
[Worker-7] Chunk #952 done in 1 ms  local best: candidate #95269  cost=37173578.56
[Worker-7] Chunk #960  [96000, 96100)  100 candidates
[Worker-7] Chunk #960 done in 1 ms  local best: candidate #96042  cost=37206502.92
[Worker-7] Chunk #969  [96900, 97000)  100 candidates
[Worker-7] Chunk #969 done in 1 ms  local best: candidate #96990  cost=36750757.34
[Worker-7] Chunk #978  [97800, 97900)  100 candidates
[Worker-7] Chunk #978 done in 1 ms  local best: candidate #97812  cost=36951069.02
[Worker-7] Chunk #986  [98593, 98680)  87 candidates
[Worker-7] Chunk #986 done in 2 ms  local best: candidate #98603  cost=36516448.37
[Worker-7] Chunk #994  [99157, 99209)  52 candidates
[Worker-7] Chunk #994 done in 0 ms  local best: candidate #99194  cost=37424993.35
[Worker-7] Chunk #1002  [99493, 99524)  31 candidates
[Worker-7] Chunk #1002 done in 1 ms  local best: candidate #99517  cost=36971122.62
[Worker-7] Chunk #1009  [99674, 99694)  20 candidates
[Worker-7] Chunk #1009 done in 1 ms  local best: candidate #99682  cost=37461512.45
[Worker-7] Chunk #1017  [99802, 99814)  12 candidates
[Worker-7] Chunk #1017 done in 0 ms  local best: candidate #99809  cost=38181864.14
[Worker-7] Chunk #1025  [99885, 99895)  10 candidates
[Worker-7] Chunk #1025 done in 0 ms  local best: candidate #99886  cost=37417886.43
[Worker-7] Chunk #1034  [99975, 99985)  10 candidates
[Worker-7] Chunk #1034 done in 0 ms  local best: candidate #99976  cost=38035180.81
[Worker-7] SHUTDOWN received.
[Worker-7] Finished.  Chunks processed: 128  Local best: candidate #73683  cost=35923067.17
